sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:34:16.084039+00:00;P2;14.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:34:16.084039+00:00;P1;14.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:34:16.084039+00:00;P0;9.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:34:28.623216+00:00;humidity;50.10
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:34:28.623216+00:00;temperature;35.70
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:37:06.169023+00:00;P2;11.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:37:06.169023+00:00;P1;12.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:37:06.169023+00:00;P0;8.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:37:18.643496+00:00;humidity;50.50
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:37:18.643496+00:00;temperature;35.80
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:39:56.197949+00:00;P2;11.33
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:39:56.197949+00:00;P1;12.33
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:39:56.197949+00:00;P0;7.33
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:40:08.792983+00:00;humidity;49.20
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:40:08.792983+00:00;temperature;35.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:42:46.493205+00:00;P2;10.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:42:46.493205+00:00;P1;10.75
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:42:46.493205+00:00;P0;7.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:42:59.123190+00:00;humidity;49.60
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:42:59.123190+00:00;temperature;35.40
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:45:36.679773+00:00;P2;21.67
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:45:36.679773+00:00;P1;21.67
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:45:36.679773+00:00;P0;14.67
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:45:49.038935+00:00;humidity;49.20
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:45:49.038935+00:00;temperature;35.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:48:28.242849+00:00;P2;17.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:48:28.242849+00:00;P1;19.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:48:28.242849+00:00;P0;12.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:49:36.987653+00:00;humidity;50.40
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:49:36.987653+00:00;temperature;35.30
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:51:28.786713+00:00;P2;16.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:51:28.786713+00:00;P1;17.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:51:28.786713+00:00;P0;8.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:51:41.252933+00:00;humidity;49.20
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:51:41.252933+00:00;temperature;35.30
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:54:18.741261+00:00;P2;10.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:54:18.741261+00:00;P1;11.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:54:18.741261+00:00;P0;8.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:54:31.326682+00:00;humidity;48.90
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:54:31.326682+00:00;temperature;35.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:57:08.722826+00:00;P2;11.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:57:08.722826+00:00;P1;11.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T15:57:08.722826+00:00;P0;7.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:57:21.282956+00:00;humidity;48.70
4842;DHT22;3620;6.679;-1.574;2023-10-23T15:57:21.282956+00:00;temperature;34.80
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:00:00.713835+00:00;P2;12.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:00:00.713835+00:00;P1;12.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:00:00.713835+00:00;P0;8.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:00:13.534091+00:00;humidity;50.20
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:00:13.534091+00:00;temperature;34.60
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:02:51.319143+00:00;P2;13.80
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:02:51.319143+00:00;P1;13.80
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:02:51.319143+00:00;P0;8.60
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:03:03.863106+00:00;humidity;49.90
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:03:03.863106+00:00;temperature;34.60
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:05:41.646254+00:00;P2;16.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:05:41.646254+00:00;P1;18.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:05:41.646254+00:00;P0;10.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:05:54.273161+00:00;humidity;50.70
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:05:54.273161+00:00;temperature;34.40
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:08:47.806795+00:00;P2;15.33
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:08:47.806795+00:00;P1;16.33
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:08:47.806795+00:00;P0;10.33
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:09:44.293050+00:00;humidity;51.30
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:09:44.293050+00:00;temperature;34.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:11:42.357912+00:00;P2;17.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:11:42.357912+00:00;P1;18.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:11:42.357912+00:00;P0;10.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:11:54.880925+00:00;humidity;50.80
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:11:54.880925+00:00;temperature;34.40
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:14:32.518074+00:00;P2;22.33
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:14:32.518074+00:00;P1;22.33
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:14:32.518074+00:00;P0;16.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:14:44.898545+00:00;humidity;51.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:14:44.898545+00:00;temperature;34.30
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:17:22.261403+00:00;P2;10.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:17:22.261403+00:00;P1;10.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:17:22.261403+00:00;P0;7.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:17:34.636923+00:00;humidity;51.70
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:17:34.636923+00:00;temperature;34.30
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:20:12.202433+00:00;P2;11.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:20:12.202433+00:00;P1;11.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:20:12.202433+00:00;P0;8.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:20:30.797739+00:00;humidity;50.30
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:20:30.797739+00:00;temperature;34.20
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:23:27.622850+00:00;P2;13.67
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:23:27.622850+00:00;P1;13.67
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:23:27.622850+00:00;P0;6.33
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:26:07.302793+00:00;P2;14.67
